Point,PointYear,TransectNum,Grid,Stratum,Season,DATE,StratumYear,TransectVisitObserver,gc_shrub_50m,shrub_height_50m,gc_grass_50m,grass_height_50m,gc_forb_50m,gc_bare_50m,gc_litter_50m,gc_woody_50m,gc_tumbleweed_50m,gc_other_50m,gc_grass_nubs_50m,shrub_cover,primaryHabitat,gc_shrub_05m,shrub_height_05m,gc_grass_05m,grass_height_05m,gc_forb_05m,gc_bare_05m,gc_litter_05m,gc_woody_05m,gc_tumbleweed_05m,gc_other_05m,gc_grass_nubs_05m,grass_species_1,grass_species_1_pct,grass_species_2,grass_species_2_pct,GrassSpecies1ScientificName,GrassSpecies1CommonName,GrassSpecies1Code2,GrassSpecies1Code6,GrassSpecies2ScientificName,GrassSpecies2CommonName,GrassSpecies2Code2,GrassSpecies2Code6,ShrubLayerCode6_1,ShrubLayerSpeciesAbundance_1,ShrubLayerCommonName_1,ShrubLayerScientificName_1,ShrubLayerCode6_2,ShrubLayerSpeciesAbundance_2,ShrubLayerCommonName_2,ShrubLayerScientificName_2
MC9-208,2019-MC9-208,MC9-2,MC9,MC,2019,"jueves, 14 de febrero de 2019",MC-2019,IGONZ,1,50,20,20,1,70,5,1,0,1,1,1,GR,0,NA,20,15,1,76,1,0,0,1,1,44,85,6,10,Hilaria sp.,NA,HS,HIL_SP,Aristida sp.,Aristida sp,AR,ARI_SP,KOESPI,90,Allthorn,Koeberlinia spinosa,CONERI,5,Javelina Bush,Condalia ericoides
MC9-302,2019-MC9-302,MC9-3,MC9,MC,2019,"jueves, 14 de febrero de 2019",MC-2019,IGONZ,5,50,10,50,1,68,1,5,0,10,0,1,GR,5,50,10,45,5,73,1,1,0,5,0,53,90,6,5,Muhlenbergia sp.,Muhlenbergia sp,MU,MUH_SP,Aristida sp.,Aristida sp,AR,ARI_SP,CONERI,5,Javelina Bush,Condalia ericoides,MIMBIU,90,Catclaw Mimosa,Mimosa biuncifera
MC9-304,2019-MC9-304,MC9-3,MC9,MC,2019,"jueves, 14 de febrero de 2019",MC-2019,IGONZ,10,100,20,70,5,53,5,5,0,1,1,5,GR,5,100,20,55,1,72,1,1,0,0,0,39,85,53,10,Eriogonum sp.,NA,E2,ERI_SP,Muhlenbergia sp.,Muhlenbergia sp,MU,MUH_SP,YUCELA,85,Soaptree Yucca,Yucca elata,NOLTEX,5,NA,Nolina texana
MC9-306,2019-MC9-306,MC9-3,MC9,MC,2019,"jueves, 14 de febrero de 2019",MC-2019,IGONZ,20,125,30,70,5,33,10,1,0,1,0,5,SH,5,75,20,65,1,67,5,1,0,1,0,6,85,11,10,Aristida sp.,Aristida sp,AR,ARI_SP,Bothriochloa sp.,NA,B6,BOT_SP,YUCELA,80,Soaptree Yucca,Yucca elata,NOLTEX,15,NA,Nolina texana
MC9-308,2019-MC9-308,MC9-3,MC9,MC,2019,"jueves, 14 de febrero de 2019",MC-2019,IGONZ,5,75,20,55,1,62,5,5,0,1,1,5,GR,5,75,1,45,1,90,1,0,0,1,1,37,90,11,5,Eragrostis sp.,NA,E5,ERA_SP,Bothriochloa sp.,NA,B6,BOT_SP,CONERI,80,Javelina Bush,Condalia ericoides,YUCELA,15,Soaptree Yucca,Yucca elata
MI10-102,2019-MI10-102,MI10-1,MI10,MI,2019,"viernes, 8 de marzo de 2019",MI-2019,BOC,1,100,35,60,5,50,5,1,1,1,1,1,GR,1,75,40,65,5,47,5,0,1,0,1,19,90,30,5,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Enneapogon sp.,NA,ES,ENN_SP,YUCELA,90,Soaptree Yucca,Yucca elata,EPH_SP,10,Mormon Tea,Ephedra sp.
MI10-104,2019-MI10-104,MI10-1,MI10,MI,2019,"viernes, 8 de marzo de 2019",MI-2019,BOC,1,100,30,30,1,50,10,1,1,1,5,1,GR,0,NA,40,25,1,46,10,0,1,1,1,19,90,44,5,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Hilaria sp.,NA,HS,HIL_SP,ZIZOBT,90,Graythorn/Lotebush,Ziziphus obtusifolia,EPH_SP,5,Mormon Tea,Ephedra sp.
MI10-106,2019-MI10-106,MI10-1,MI10,MI,2019,"viernes, 8 de marzo de 2019",MI-2019,BOC,1,75,30,30,1,55,5,1,1,5,1,1,GR,1,50,20,25,5,58,5,0,0,10,1,30,90,6,5,Enneapogon sp.,NA,ES,ENN_SP,Aristida sp.,Aristida sp,AR,ARI_SP,NOLMIC,60,NA,Nolina microcarpa,YUCELA,20,Soaptree Yucca,Yucca elata
MI10-108,2019-MI10-108,MI10-1,MI10,MI,2019,"viernes, 8 de marzo de 2019",MI-2019,BOC,1,100,31,60,5,50,5,1,1,1,5,1,GR,1,75,20,65,5,64,5,0,0,0,5,19,100,NA,NA,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP, ,NA,NA,      ,YUCELA,50,Soaptree Yucca,Yucca elata,EPH_SP,50,Mormon Tea,Ephedra sp.
MI10-202,2019-MI10-202,MI10-2,MI10,MI,2019,"viernes, 8 de marzo de 2019",MI-2019,BOC,0,NA,32,40,1,50,10,0,1,1,5,0,GR,0,NA,38,55,1,50,10,0,0,0,1,19,95,6,5,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,NA,NA,NA,NA,NA,NA,NA,NA
MI10-204,2019-MI10-204,MI10-2,MI10,MI,2019,"viernes, 8 de marzo de 2019",MI-2019,BOC,0,NA,30,40,1,52,10,0,1,1,5,0,GR,0,NA,10,35,1,74,10,0,0,0,5,19,50,6,45,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,NA,NA,NA,NA,NA,NA,NA,NA
MI10-206,2019-MI10-206,MI10-2,MI10,MI,2019,"viernes, 8 de marzo de 2019",MI-2019,BOC,1,75,30,45,5,55,5,1,1,1,1,1,GR,0,NA,30,30,5,57,5,0,1,1,1,19,55,30,30,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Enneapogon sp.,NA,ES,ENN_SP,EPH_SP,55,Mormon Tea,Ephedra sp.,YUCELA,40,Soaptree Yucca,Yucca elata
MI10-208,2019-MI10-208,MI10-2,MI10,MI,2019,"viernes, 8 de marzo de 2019",MI-2019,BOC,5,100,30,60,1,55,5,1,1,1,1,5,GR,1,125,30,60,1,59,5,1,1,1,1,19,99,6,1,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,YUCELA,70,Soaptree Yucca,Yucca elata,EPH_SP,30,Mormon Tea,Ephedra sp.
MI10-302,2019-MI10-302,MI10-3,MI10,MI,2019,"viernes, 8 de marzo de 2019",MI-2019,BOC,0,NA,40,40,1,42,10,0,1,1,5,0,GR,0,NA,30,40,1,49,10,0,5,0,5,19,90,6,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,NA,NA,NA,NA,NA,NA,NA,NA
MI10-304,2019-MI10-304,MI10-3,MI10,MI,2019,"viernes, 8 de marzo de 2019",MI-2019,BOC,1,50,31,40,1,50,10,0,1,1,5,1,GR,0,NA,40,30,1,43,10,0,0,1,5,19,100,NA,NA,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP, ,NA,NA,      ,YUCELA,100,Soaptree Yucca,Yucca elata,NA,NA,NA,NA
MI10-306,2019-MI10-306,MI10-3,MI10,MI,2019,"viernes, 8 de marzo de 2019",MI-2019,BOC,1,50,30,60,1,54,10,1,1,1,1,1,GR,0,NA,26,50,1,60,10,0,1,1,1,19,99,44,1,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Hilaria sp.,NA,HS,HIL_SP,PROGLA,20,Honey Mesquite,Prosopis glandulosa,YUCELA,60,Soaptree Yucca,Yucca elata
MI10-308,2019-MI10-308,MI10-3,MI10,MI,2019,"viernes, 8 de marzo de 2019",MI-2019,BOC,1,75,40,50,1,44,10,1,1,1,1,1,GR,1,50,30,50,1,56,10,0,1,0,1,19,95,6,5,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,EPH_SP,50,Mormon Tea,Ephedra sp.,YUCELA,40,Soaptree Yucca,Yucca elata
MI1-102,2019-MI1-102,MI1-1,MI1,MI,2019,"miércoles, 16 de enero de 2019",MI-2019,ACT,1,75,50,45,1,41,5,1,0,1,NA,NA,GR,5,75,60,45,0,33,1,1,0,0,0,19,80,10,20,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Bothriochloa barbinodis,NA,BI,BOTBAR,CONERI,60,Javelina Bush,Condalia ericoides,YUCELA,40,Soaptree Yucca,Yucca elata
MI1-104,2019-MI1-104,MI1-1,MI1,MI,2019,"miércoles, 16 de enero de 2019",MI-2019,ACT,1,150,40,20,1,56,1,1,0,0,NA,NA,GR,0,NA,25,20,1,69,5,0,0,0,0,26,60,19,40,Dasyochloa sp. ,NA,D7,DAS_SP,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,YUCELA,80,Soaptree Yucca,Yucca elata,EPH_SP,20,Mormon Tea,Ephedra sp.
MI1-106,2019-MI1-106,MI1-1,MI1,MI,2019,"miércoles, 16 de enero de 2019",MI-2019,ACT,5,125,50,30,0,39,5,0,1,0,NA,NA,GR,5,100,60,45,1,29,5,0,1,0,NA,19,70,6,30,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,EPH_SP,90,Mormon Tea,Ephedra sp.,YUCELA,10,Soaptree Yucca,Yucca elata
MI1-108,2019-MI1-108,MI1-1,MI1,MI,2019,"miércoles, 16 de enero de 2019",MI-2019,ACT,0,NA,50,45,1,39,10,0,0,0,NA,NA,GR,0,NA,70,45,0,20,10,0,0,0,0,19,90,6,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,NA,NA,NA,NA,NA,NA,NA,NA
MI1-204,2019-MI1-204,MI1-2,MI1,MI,2019,"miércoles, 16 de enero de 2019",MI-2019,ACT,1,75,30,35,0,67,1,1,0,0,NA,NA,GR,1,50,5,30,1,93,0,0,0,0,NA,19,80,6,20,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,YUCELA,50,Soaptree Yucca,Yucca elata,ACA_SP,40,Acacia,Acacia sp.
MI1-206,2019-MI1-206,MI1-2,MI1,MI,2019,"miércoles, 16 de enero de 2019",MI-2019,ACT,0,NA,50,40,1,33,5,0,1,0,NA,NA,GR,0,0,50,55,1,39,10,0,0,0,NA,19,70,11,30,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Bothriochloa sp.,NA,B6,BOT_SP,NA,NA,NA,NA,NA,NA,NA,NA
MI1-208,2019-MI1-208,MI1-2,MI1,MI,2019,"miércoles, 16 de enero de 2019",MI-2019,ACT,1,75,30,35,0,67,1,1,0,0,NA,NA,GR,0,0,30,40,1,69,0,0,0,0,NA,19,50,6,40,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,EPH_SP,60,Mormon Tea,Ephedra sp.,CONERI,40,Javelina Bush,Condalia ericoides
MI1-304,2019-MI1-304,MI1-3,MI1,MI,2019,"miércoles, 16 de enero de 2019",MI-2019,ACT,1,75,50,45,1,38,10,0,0,0,0,NA,GR,5,75,55,50,0,20,20,0,0,0,0,19,60,37,30,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Eragrostis sp.,NA,E5,ERA_SP,YUCELA,60,Soaptree Yucca,Yucca elata,RHUMIC,40,Littleleaf Sumac,Rhus microphylla
MI1-306,2019-MI1-306,MI1-3,MI1,MI,2019,"miércoles, 16 de enero de 2019",MI-2019,ACT,0,0,30,30,5,64,0,0,0,1,0,NA,  ,0,0,40,35,1,57,1,0,0,1,0,19,70,10,30,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Bothriochloa barbinodis,NA,BI,BOTBAR,NA,NA,NA,NA,NA,NA,NA,NA
MI1-308,2019-MI1-308,MI1-3,MI1,MI,2019,"miércoles, 16 de enero de 2019",MI-2019,ACT,0,0,30,35,1,64,5,0,0,0,0,NA,  ,0,0,20,40,0,79,1,0,0,0,0,19,90,6,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,NA,NA,NA,NA,NA,NA,NA,NA
MI17-102,2019-MI17-102,MI17-1,MI17,MI,2019,"lunes, 14 de enero de 2019",MI-2019,BOC,1,60,40,50,1,47,10,1,0,0,0,NA,GR,0,NA,40,40,1,49,10,0,0,0,0,19,90,53,5,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Muhlenbergia sp.,Muhlenbergia sp,MU,MUH_SP,CONERI,90,Javelina Bush,Condalia ericoides,KOESPI,10,Allthorn,Koeberlinia spinosa
MI17-104,2019-MI17-104,MI17-1,MI17,MI,2019,"lunes, 14 de enero de 2019",MI-2019,BOC,1,60,40,40,1,48,10,0,0,0,0,NA,GR,0,NA,20,40,1,69,10,0,0,0,0,19,90,60,5,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Setaria sp.,NA,SS,SET_SP,CONERI,90,Javelina Bush,Condalia ericoides,KOESPI,10,Allthorn,Koeberlinia spinosa
MI17-106,2019-MI17-106,MI17-1,MI17,MI,2019,"lunes, 14 de enero de 2019",MI-2019,BOC,1,70,30,40,5,58,5,1,0,0,0,NA,GR,1,40,30,40,1,63,5,0,0,0,0,19,70,6,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,CONERI,80,Javelina Bush,Condalia ericoides,KOESPI,10,Allthorn,Koeberlinia spinosa
MI17-108,2019-MI17-108,MI17-1,MI17,MI,2019,"lunes, 14 de enero de 2019",MI-2019,BOC,1,40,30,60,10,53,5,0,0,1,0,NA,GR,0,NA,30,50,10,55,5,0,0,0,0,19,80,6,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,YUCELA,80,Soaptree Yucca,Yucca elata,CONERI,20,Javelina Bush,Condalia ericoides
MI17-202,2019-MI17-202,MI17-2,MI17,MI,2019,"lunes, 14 de enero de 2019",MI-2019,BOC,1,50,40,55,1,48,10,0,0,0,0,NA,GR,0,NA,40,45,1,49,10,0,0,0,0,19,80,6,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,CONERI,70,Javelina Bush,Condalia ericoides,YUCELA,20,Soaptree Yucca,Yucca elata
MI17-204,2019-MI17-204,MI17-2,MI17,MI,2019,"lunes, 14 de enero de 2019",MI-2019,BOC,1,60,30,50,5,58,5,1,0,0,0,NA,GR,1,60,20,40,5,69,5,0,0,0,0,19,80,56,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Panicum sp.,NA,PS,PAN_SP,YUCELA,70,Soaptree Yucca,Yucca elata,CONERI,20,Javelina Bush,Condalia ericoides
MI17-206,2019-MI17-206,MI17-2,MI17,MI,2019,"lunes, 14 de enero de 2019",MI-2019,BOC,1,65,30,45,1,58,10,0,0,0,0,NA,GR,0,NA,20,45,1,69,10,0,0,0,0,19,70,6,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,YUCELA,100,Soaptree Yucca,Yucca elata,NA,NA,NA,NA
MI17-208,2019-MI17-208,MI17-2,MI17,MI,2019,"lunes, 14 de enero de 2019",MI-2019,BOC,1,70,30,60,1,57,10,1,0,0,0,NA,GR,1,70,30,50,1,61,5,1,0,1,0,19,70,53,20,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Muhlenbergia sp.,Muhlenbergia sp,MU,MUH_SP,YUCELA,80,Soaptree Yucca,Yucca elata,EPHTRI,10,Mormon Tea,Ephedra trifurca
MI17-302,2019-MI17-302,MI17-3,MI17,MI,2019,"lunes, 14 de enero de 2019",MI-2019,BOC,1,50,53,50,0,40,5,0,0,1,0,NA,GR,0,NA,40,55,0,58,1,0,0,1,0,19,45,19,40,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,YUCELA,90,Soaptree Yucca,Yucca elata,EPHTRI,10,Mormon Tea,Ephedra trifurca
MI17-304,2019-MI17-304,MI17-3,MI17,MI,2019,"lunes, 14 de enero de 2019",MI-2019,BOC,1,75,69,50,0,20,10,0,0,0,0,NA,GR,0,NA,59,25,0,20,20,0,0,1,0,44,50,77,40,Hilaria sp.,NA,HS,HIL_SP,Unknown dead plant,NA,UD,UNKDEA,YUCELA,90,Soaptree Yucca,Yucca elata,CONERI,10,Javelina Bush,Condalia ericoides
MI17-306,2019-MI17-306,MI17-3,MI17,MI,2019,"lunes, 14 de enero de 2019",MI-2019,BOC,1,75,40,60,5,49,5,0,0,0,0,NA,GR,0,NA,50,60,5,40,5,0,0,0,0,19,80,6,20,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,YUCELA,60,Soaptree Yucca,Yucca elata,EPHTRI,NA,Mormon Tea,Ephedra trifurca
MI17-308,2019-MI17-308,MI17-3,MI17,MI,2019,"lunes, 14 de enero de 2019",MI-2019,BOC,1,75,40,50,1,56,1,0,0,1,0,NA,GR,0,NA,30,40,5,59,5,0,0,1,0,26,50,19,40,Dasyochloa sp. ,NA,D7,DAS_SP,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,EPHTRI,NA,Mormon Tea,Ephedra trifurca,YUCELA,NA,Soaptree Yucca,Yucca elata
MI3-102,2019-MI3-102,MI3-1,MI3,MI,2019,"lunes, 14 de enero de 2019",MI-2019,DPO,1,100,61,25,1,30,5,0,1,1,0,NA,GR,0,NA,84,25,0,10,5,0,1,0,0,19,90,10,5,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Bothriochloa barbinodis,NA,BI,BOTBAR,CONERI,100,Javelina Bush,Condalia ericoides,NA,NA,NA,NA
MI3-104,2019-MI3-104,MI3-1,MI3,MI,2019,"lunes, 14 de enero de 2019",MI-2019,DPO,1,50,30,35,1,56,10,0,1,1,0,NA,GR,0,NA,30,35,1,62,5,0,1,1,0,19,65,59,20,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Scleropogon brevifolius,NA,SB,SCLBRE,CONERI,60,Javelina Bush,Condalia ericoides,YUCELA,40,Soaptree Yucca,Yucca elata
MI3-106,2019-MI3-106,MI3-1,MI3,MI,2019,"lunes, 14 de enero de 2019",MI-2019,DPO,1,75,50,40,1,43,5,0,0,0,0,NA,GR,0,NA,50,40,0,49,1,0,0,0,0,19,79,59,20,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Scleropogon brevifolius,NA,SB,SCLBRE,CONERI,100,Javelina Bush,Condalia ericoides,NA,NA,NA,NA
MI3-108,2019-MI3-108,MI3-1,MI3,MI,2019,"lunes, 14 de enero de 2019",MI-2019,DPO,1,75,53,40,1,40,5,0,0,0,0,NA,GR,0,NA,40,40,1,54,5,0,0,0,0,19,80,59,20,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Scleropogon brevifolius,NA,SB,SCLBRE,CONERI,100,Javelina Bush,Condalia ericoides,NA,NA,NA,NA
MI3-202,2019-MI3-202,MI3-2,MI3,MI,2019,"lunes, 14 de enero de 2019",MI-2019,DPO,1,75,50,45,1,40,5,1,1,1,0,NA,GR,1,75,40,45,1,45,10,1,1,1,0,19,85,53,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Muhlenbergia sp.,Muhlenbergia sp,MU,MUH_SP,YUCELA,60,Soaptree Yucca,Yucca elata,KOESPI,30,Allthorn,Koeberlinia spinosa
MI3-204,2019-MI3-204,MI3-2,MI3,MI,2019,"lunes, 14 de enero de 2019",MI-2019,DPO,0,NA,69,45,0,20,10,0,0,1,0,NA,GR,0,NA,70,30,0,20,10,0,0,0,0,19,94,53,5,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Muhlenbergia sp.,Muhlenbergia sp,MU,MUH_SP,NA,NA,NA,NA,NA,NA,NA,NA
MI3-206,2019-MI3-206,MI3-2,MI3,MI,2019,"lunes, 14 de enero de 2019",MI-2019,DPO,5,100,62,45,1,20,10,1,0,1,0,NA,GR,1,125,73,40,1,20,5,0,0,0,0,19,85,59,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Scleropogon brevifolius,NA,SB,SCLBRE,EPHTRI,65,Mormon Tea,Ephedra trifurca,YUCELA,30,Soaptree Yucca,Yucca elata
MI3-208,2019-MI3-208,MI3-2,MI3,MI,2019,"lunes, 14 de enero de 2019",MI-2019,DPO,1,100,57,50,1,30,10,0,0,1,0,NA,GR,0,NA,59,40,1,30,10,0,0,0,0,19,100,NA,NA,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP, ,NA,NA,      ,NA,NA,NA,NA,NA,NA,NA,NA
MI3-302,2019-MI3-302,MI3-3,MI3,MI,2019,"miércoles, 16 de enero de 2019",MI-2019,DPO,1,50,50,40,1,42,5,1,0,0,0,NA,GR,0,NA,60,35,1,38,1,0,0,0,0,19,96,6,2,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,CONERI,85,Javelina Bush,Condalia ericoides,YUCELA,10,Soaptree Yucca,Yucca elata
MI3-304,2019-MI3-304,MI3-3,MI3,MI,2019,"miércoles, 16 de enero de 2019",MI-2019,DPO,1,75,40,40,0,56,1,1,0,1,0,NA,GR,0,NA,40,30,0,53,5,1,0,1,0,19,85,59,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Scleropogon brevifolius,NA,SB,SCLBRE,CONERI,70,Javelina Bush,Condalia ericoides,YUCELA,30,Soaptree Yucca,Yucca elata
MI3-306,2019-MI3-306,MI3-3,MI3,MI,2019,"miércoles, 16 de enero de 2019",MI-2019,DPO,5,100,58,45,0,30,5,1,0,1,0,NA,GR,1,75,62,30,0,30,5,1,0,1,0,19,90,11,5,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Bothriochloa sp.,NA,B6,BOT_SP,YUCELA,50,Soaptree Yucca,Yucca elata,EPHTRI,45,Mormon Tea,Ephedra trifurca
MI3-308,2019-MI3-308,MI3-3,MI3,MI,2019,"miércoles, 16 de enero de 2019",MI-2019,DPO,5,75,48,40,0,40,5,1,0,1,0,NA,GR,1,75,30,35,0,67,1,0,0,1,0,19,98,56,1,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Panicum sp.,NA,PS,PAN_SP,EPHTRI,50,Mormon Tea,Ephedra trifurca,YUCELA,45,Soaptree Yucca,Yucca elata
MI4-102,2019-MI4-102,MI4-1,MI4,MI,2019,"domingo, 20 de enero de 2019",MI-2019,BOC,1,50,30,45,1,30,38,0,0,0,0,NA,GR,0,NA,30,40,1,49,20,0,0,0,0,19,60,6,20,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,CONERI,100,Javelina Bush,Condalia ericoides,NA,NA,NA,NA
MI4-104,2019-MI4-104,MI4-1,MI4,MI,2019,"domingo, 20 de enero de 2019",MI-2019,BOC,1,50,30,50,5,30,34,0,0,0,0,NA,GR,0,NA,49,50,1,20,30,0,0,0,0,19,80,6,20,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,CONERI,100,Javelina Bush,Condalia ericoides,NA,NA,NA,NA
MI4-202,2019-MI4-202,MI4-2,MI4,MI,2019,"viernes, 18 de enero de 2019",MI-2019,BOC,0,NA,54,40,1,40,5,0,0,0,0,NA,GR,0,NA,50,45,5,40,5,0,0,0,0,19,90,6,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,NA,NA,NA,NA,NA,NA,NA,NA
MI4-204,2019-MI4-204,MI4-2,MI4,MI,2019,"viernes, 18 de enero de 2019",MI-2019,BOC,0,NA,44,50,5,30,20,0,0,1,0,NA,GR,0,NA,20,50,5,54,20,1,0,0,0,19,80,6,20,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,NA,NA,NA,NA,NA,NA,NA,NA
MI4-206,2019-MI4-206,MI4-2,MI4,MI,2019,"viernes, 18 de enero de 2019",MI-2019,BOC,0,NA,49,50,1,40,10,0,0,0,0,NA,GR,0,NA,58,50,1,30,10,0,1,0,0,19,70,6,30,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,NA,NA,NA,NA,NA,NA,NA,NA
MI4-208,2019-MI4-208,MI4-2,MI4,MI,2019,"viernes, 18 de enero de 2019",MI-2019,BOC,0,NA,35,45,5,30,30,0,0,0,0,NA,GR,0,NA,30,45,1,39,30,0,0,0,0,19,90,6,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,NA,NA,NA,NA,NA,NA,NA,NA
MI4-302,2019-MI4-302,MI4-3,MI4,MI,2019,"sábado, 19 de enero de 2019",MI-2019,BOC,0,NA,30,55,5,30,34,0,1,0,0,0,GR,0,NA,20,55,1,30,48,0,1,0,0,19,70,6,30,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,NA,NA,NA,NA,NA,NA,NA,NA
MI4-304,2019-MI4-304,MI4-3,MI4,MI,2019,"sábado, 19 de enero de 2019",MI-2019,BOC,0,NA,34,50,5,30,30,0,1,0,0,0,GR,0,NA,30,45,1,30,38,0,1,0,0,19,90,6,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,NA,NA,NA,NA,NA,NA,NA,NA
MI4-306,2019-MI4-306,MI4-3,MI4,MI,2019,"sábado, 19 de enero de 2019",MI-2019,BOC,0,NA,34,50,5,30,30,0,0,1,0,0,GR,0,NA,30,50,5,45,20,0,0,0,0,19,90,6,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,NA,NA,NA,NA,NA,NA,NA,NA
MI4-308,2019-MI4-308,MI4-3,MI4,MI,2019,"sábado, 19 de enero de 2019",MI-2019,BOC,1,100,47,55,1,40,10,0,0,1,0,NA,GR,0,NA,45,60,5,40,10,0,0,0,0,77,45,19,40,Unknown dead plant,NA,UD,UNKDEA,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,YUCELA,90,Soaptree Yucca,Yucca elata,EPH_SP,10,Mormon Tea,Ephedra sp.
MI5-102,2019-MI5-102,MI5-1,MI5,MI,2019,"jueves, 24 de enero de 2019",MI-2019,BOC,1,125,30,45,1,50,10,1,1,5,1,1,GR,1,75,20,45,1,70,5,0,1,1,1,19,80,26,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Dasyochloa sp. ,NA,D7,DAS_SP,YUCELA,10,Soaptree Yucca,Yucca elata,PROGLA,80,Honey Mesquite,Prosopis glandulosa
MI5-104,2019-MI5-104,MI5-1,MI5,MI,2019,"jueves, 24 de enero de 2019",MI-2019,BOC,1,125,40,40,1,40,10,1,1,1,5,1,GR,0,NA,42,40,1,40,10,0,1,1,5,19,80,6,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,PROGLA,10,Honey Mesquite,Prosopis glandulosa,YUCELA,90,Soaptree Yucca,Yucca elata
